#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3
OTU2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10,1,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0
OTU2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
OTU207,0,0,0,0,0,0,0,0,0,0,0,0,25,10,7,0,1,8,5,4,4,4,1,16,3,4,68,0,1,0,0,27,76,5,2,2,0,1,1,3,2,1,3,0,2,0,0,0
OTU2070,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,3,0,1,0,1
OTU2071,2,1,1,0,1,4,1,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,1,2,1,1,2,0,2,0,0,2,0,0,0,1,2,2,1,1,0,0
OTU2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,2,1,0,0,1,0,0,0,0,12,0,0,0,0,1,0,2,0,1,0,3,1,0,0,0,0
OTU2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
OTU2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU2075,0,0,0,1,0,0,0,3,3,0,0,0,6,0,0,1,0,1,0,8,1,13,3,0,0,0,0,0,1,1,1,0,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0
OTU2076,2,0,3,0,0,1,0,0,0,2,0,0,0,5,0,0,4,2,0,3,0,1,0,3,0,0,0,0,0,1,6,0,1,1,0,3,0,0,0,2,0,2,0,0,0,6,0,2
OTU2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,7,0,0,0,0
OTU2078,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,5,1,2,4,0,0,0,4,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
OTU2079,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,4,2,1,0,3,0,1,1,0,2,4,0,0,0,3,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
OTU208,11,25,16,54,33,34,45,29,52,51,40,48,5,0,1,0,0,2,2,19,6,2,3,2,1,0,6,1,15,9,0,3,6,15,8,4,18,4,21,10,34,10,26,25,16,12,22,5
OTU2080,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,2,1,1,0,1,0,0,0,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0
OTU2081,0,0,0,1,0,1,2,0,0,0,1,1,5,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,2,0,0,4,1,1,2,0,1,0,0,0,2,1,2,1,1,0,1,1
OTU2082,2,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,2,0,0,0,0,0,9,0,13
OTU2083,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,0,0,2,0,0,0,2,0,1,2,0,0,0,1,1,1,1,0,3,6,0,0,0,2,1,1,1,3
OTU2084,0,5,0,2,2,1,3,2,4,10,2,1,5,1,0,0,0,4,4,5,2,4,3,3,1,0,0,0,2,3,1,5,5,1,3,1,1,1,1,0,0,2,0,1,1,1,2,1
OTU2085,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,4,0
OTU2086,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,1,0,2,11,1,4,1
OTU2087,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2088,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,8,1,5,1,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU2089,1,4,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,1,0,0,2,0,0,1,0,0,0,3,0,1,2,0,1,0,0,0,0,0,0,4,0,2
OTU209,0,25,0,115,112,150,89,68,204,175,254,202,2,6,0,0,0,0,0,1,0,1,0,1,0,1,1,0,3,8,0,0,1,48,13,31,18,0,3,0,29,0,25,2,0,1,21,0
OTU2090,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU2091,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,1,3,2,4,0,1,0,0,0,0,0,0,0,0,0
OTU2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
OTU2093,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,6,0,0,5,1,0,0,0,3,0,2,0,1,1,1,0,1,0,1,0,0,0
OTU2094,1,0,2,0,0,0,0,0,0,0,0,0,0,11,1,2,3,5,0,0,0,1,0,0,1,0,1,2,0,0,2,0,0,3,0,3,0,1,0,1,0,1,0,0,0,2,0,0
OTU2095,3,0,7,0,0,0,0,0,0,0,0,0,5,22,4,6,10,2,25,17,0,22,12,11,0,0,22,10,2,12,2,16,3,10,7,7,2,15,10,11,5,0,12,1,1,8,1,7
