#OTU ID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU1135,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
OTU1136,Bacteria,AD3,AY289487_c,AY289487_o,AY289487_f,AY289487_g,
OTU1137,Unassigned,,,,,,
OTU1138,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Singulisphaera,
OTU1139,Bacteria,Bacteroidetes,Sphingobacteriia,HQ178786_o,HQ178786_f,HQ178786_g,
OTU114,Bacteria,Proteobacteria,Betaproteobacteria,DQ009366_o,DQ009366_f,EU421844_g,
OTU1140,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,GQ339148_g,
OTU1141,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Parvibaculum_f,AF370880_g,
OTU1142,Bacteria,Chloroflexi,Thermomicrobia,GQ263151_o,GQ263151_f,AY921935_g,
OTU1143,Bacteria,Spirochaetes,Spirochaetes_c,Spirochaetales,Spirochaetaceae,Spirochaeta,
OTU1144,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AB232813_g,
OTU1145,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU1146,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,
OTU1147,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,DQ906072_g,
OTU1148,Bacteria,Tenericutes,Mollicutes,JPXG_o,JPXG_f,HQ645183_g,
OTU1149,Bacteria,Chloroflexi,Anaerolineae,Anaerolinaeles,Anaerolinaceae,AF234690_g,
OTU115,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,
OTU1150,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavitalea,
OTU1151,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,HM259262_g,
