#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3,taxonomy
OTU498,13,73,15,13,30,17,15,40,10,15,1,25,4,1,3,2,2,25,0,16,26,0,1,1,1,0,2,5,61,0,0,2,9,10,4,4,25,3,19,16,16,30,9,31,22,7,68,7,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Gemmata_f;HM259262_g
OTU4980,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,3,3,2,1,0,0,0,0,0,1,0,0,5,5,2,1,0,0,0,0,1,0,0,5,1,2,1,0,0,Bacteria;Chloroflexi;FR749824_c;FJ625377_o;FJ625377_f;FJ625377_g
OTU4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae
OTU4982,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;FJ889281_f;FJ889281_g
OTU4983,0,4,0,0,2,0,0,1,0,1,0,0,4,0,0,0,0,2,0,1,0,0,4,3,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,0,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;FN428761_g
OTU4984,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
OTU4985,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Unassigned
OTU4986,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Bacteria;Gemmatimonadetes;Longimicrobia;GQ263235_o;GQ263235_f;GQ263235_g
OTU4987,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
OTU4988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Tenericutes;Mollicutes;JPXG_o;FJ984658_f;FJ984661_g
